brand_name,product_name,product_id,url,images_from_sociolla,images_from_serper,total_images,serper_status
584_aeris-beaute,Mini Blendie Pill,102710,https://www.sociolla.com/makeup-pouch/74368-mini-blendie-pill,0,10,10,ok
584_aeris-beaute,The Onyx 2.0 - Individual Brushes X3-Blush,104048,https://www.sociolla.com/face-brushes/75706-the-onyx-2-0-individual-brushes-x3-blush,0,7,7,ok
584_aeris-beaute,The Onyx 2.0 - Individual Brushes X4-Foundation,104050,https://www.sociolla.com/face-brushes/75708-the-onyx-2-0-individual-brushes-x4-foundation,0,8,8,ok
584_aeris-beaute,Triple Duty Powder Puff,100773,https://www.sociolla.com/sponge-applicators/72431-triple-duty-powder-puff,0,2,2,ok
584_aeris-beaute,Aeris Beauté Golden Silk Set (12 pcs Face & Eye Brush Set) + Free Gift,94533,https://www.sociolla.com/face-brushes/66191-aeris-beaute-golden-silk-set-12-pcs-face-and-eye-brush-set-free-gift,0,1,1,ok
584_aeris-beaute,Smart Sonic Facial Cleanser,87216,https://www.sociolla.com/facial-tools/58874-smart-sonic-facial-cleanser,0,4,4,ok
15654_adara-cosmetics,Bee White Yogurt Day Dream,105009,https://www.sociolla.com/face-cream-lotion/76667-bee-white-yogurt-day-dream,0,4,4,ok
584_aeris-beaute,The Onyx 2.0 - Individual Brushes X1-Powder,104049,https://www.sociolla.com/face-brushes/75707-the-onyx-2-0-individual-brushes-x1-powder,0,7,7,ok
15654_adara-cosmetics,PMS Ceramide Pudding,104998,https://www.sociolla.com/face-cream-lotion/76656-pms-ceramide-pudding,0,8,8,ok
584_aeris-beaute,Libre Trimming Scissor,104614,https://www.sociolla.com/brow-tools/76272-libre-trimming-scissor,0,8,8,ok
584_aeris-beaute,The Onyx 2.0 - Individual Brushes X9-Eye Blending,104053,https://www.sociolla.com/face-brushes/75711-the-onyx-2-0-individual-brushes-x9-eye-blending,0,6,6,ok
