brand_name,product_name,product_id,beauty_point_earned,price_range,price_by_combinations,url,active_date,default_category,categories,rating_types_str,average_rating,total_reviews,average_rating_by_types,total_recommended_count,total_repurchase_maybe_count,total_repurchase_no_count,total_repurchase_yes_count,total_in_wishlist,image_folder_name,image_folder_path,image_count
118_ecotools,3129 IC Interchangeables Handle Duo,91174,10,Rp 79.900,"""Default"": 79900",https://www.sociolla.com/sponge-applicators/62832-3129-ic-interchangeables-handle-duo,,Sponge & Applicators,Accessories; Makeup Brushes; Sponge & Applicators,is_star_durability;is_star_eficiency;is_star_packaging;is_star_value_for_money,5.0,0,"""star_durability"": 5; ""star_eficiency"": 5; ""star_packaging"": 5; ""star_value_for_money"": 5",2,0,0,2,6,118_ecotools_91174,SafeCart_Dataset/images/118_ecotools_91174,8
118_ecotools,1379 Frosted Finish Beauty Kit,34104,120,Rp 645.000,,https://www.sociolla.com/default-category/11274-1379-frosted-finish-beauty-kit,,Brush Set,TRY CLEAN BEAUTY; More Hygiene With Tools; More Hygiene With Makeup Tools,is_star_durability;is_star_eficiency;is_star_packaging;is_star_value_for_money,4.9375,5,"""star_durability"": 5; ""star_eficiency"": 4.875; ""star_packaging"": 5; ""star_value_for_money"": 4.875",8,3,0,5,174,118_ecotools_34104,SafeCart_Dataset/images/118_ecotools_34104,5
118_ecotools,1611 Wonder Colour Finish Brush,19651,50,Rp 299.000,,https://sociolla.com/accessories/9169-1611-wonder-colour-finish-brush.html,,Face Brushes,Juicy Skin Makeup Look; Juicy Skin Makeup Look 100-200K; More Hygiene With Tools,is_star_durability;is_star_eficiency;is_star_packaging;is_star_value_for_money,4.916666666666667,2,"""star_durability"": 5; ""star_eficiency"": 5; ""star_packaging"": 5; ""star_value_for_money"": 4.666666666666667",3,1,1,1,45,118_ecotools_19651,SafeCart_Dataset/images/118_ecotools_19651,8
118_ecotools,Eye Perfecting Brush,469,40,Rp 225.000,,https://www.sociolla.com/accessories/2808-eye-perfecting-brush,,Eye Brushes,Rock and Kohl Makeup Look; Rock and Kohl Makeup Look 100-200K; TGIF SALE,is_star_durability;is_star_eficiency;is_star_packaging;is_star_value_for_money,5.0,2,"""star_durability"": 5; ""star_eficiency"": 5; ""star_packaging"": 5; ""star_value_for_money"": 5",4,0,0,4,19,118_ecotools_469,SafeCart_Dataset/images/118_ecotools_469,4
118_ecotools,3131 IC Flat Foundation Brush,91167,30,Rp 159.900,"""Default"": 159900",https://www.sociolla.com/face-brushes/62825-3131-ic-flat-foundation-brush,,Face Brushes,Accessories; Makeup Brushes; Face Brushes,is_star_durability;is_star_eficiency;is_star_packaging;is_star_value_for_money,5.0,0,"""star_durability"": 5; ""star_eficiency"": 5; ""star_packaging"": 5; ""star_value_for_money"": 5",1,0,0,1,60,118_ecotools_91167,SafeCart_Dataset/images/118_ecotools_91167,4
118_ecotools,3201 IC Interchangeables Blush & Glow Kit,91176,60,Rp 329.900,"""Default"": 329900",https://www.sociolla.com/brush-set/62834-3201-ic-interchangeables-blush-and-glow-kit,,Brush Set,Accessories; Makeup Brushes; Brush Set,is_star_durability;is_star_eficiency;is_star_packaging;is_star_value_for_money,5.0,0,"""star_durability"": 5; ""star_eficiency"": 5; ""star_packaging"": 5; ""star_value_for_money"": 5",3,0,0,3,14,118_ecotools_91176,SafeCart_Dataset/images/118_ecotools_91176,5
118_ecotools,1665 Travel & Glow Set w/ bonus travel bag & blotting paper,74008,90,Rp 469.000,"""Non Specify"": 469000",https://www.sociolla.com/brush-set/27188-1665-travel-and-glow-set-w-bonus-travel-bag-and-blotting-paper,,Brush Set,The 80s is Back Makeup Look; More Hygiene With Tools; More Hygiene With Makeup Tools,is_star_durability;is_star_eficiency;is_star_packaging;is_star_value_for_money,5.0,3,"""star_durability"": 5; ""star_eficiency"": 5; ""star_packaging"": 5; ""star_value_for_money"": 5",3,0,0,3,79,118_ecotools_74008,SafeCart_Dataset/images/118_ecotools_74008,9
118_ecotools,3178 Bioblender Body Cleansing Sponge,91147,30,Rp 159.900,"""Default"": 159900",https://www.sociolla.com/sponge-applicators/62805-3178-bioblender-body-cleansing-sponge,,Sponge & Applicators,Accessories; Makeup Brushes; Sponge & Applicators,is_star_durability;is_star_eficiency;is_star_packaging;is_star_value_for_money,5.0,0,"""star_durability"": 5; ""star_eficiency"": 5; ""star_packaging"": 5; ""star_value_for_money"": 5",2,0,0,2,13,118_ecotools_91147,SafeCart_Dataset/images/118_ecotools_91147,5
118_ecotools,3163 Bioblender Duo,91145,40,Rp 219.900,"""Default"": 219900",https://www.sociolla.com/sponge-applicators/62803-3163-bioblender-duo,,Sponge & Applicators,Accessories; Makeup Brushes; Sponge & Applicators,is_star_durability;is_star_eficiency;is_star_packaging;is_star_value_for_money,4.916666666666667,1,"""star_durability"": 4.666666666666667; ""star_eficiency"": 5; ""star_packaging"": 5; ""star_value_for_money"": 5",3,0,0,3,-22,118_ecotools_91145,SafeCart_Dataset/images/118_ecotools_91145,8
118_ecotools,1621 Perfecting Cushion Blender,19657,30,Rp 175.000,"""Medium"": 175000",https://www.sociolla.com/sponge-applicators/9173-1621-perfecting-cushion-blender,2022-12-12T06:59:32.153Z,Sponge & Applicators,Accessories; Makeup Brushes; Sponge & Applicators,is_star_durability;is_star_eficiency;is_star_packaging;is_star_value_for_money,4.423076923076923,11,"""star_durability"": 4.3076923076923075; ""star_eficiency"": 4.461538461538462; ""star_packaging"": 4.538461538461538; ""star_value_for_money"": 4.384615384615385",12,6,0,7,26,118_ecotools_19657,SafeCart_Dataset/images/118_ecotools_19657,6
